Time of transfer,Sender IP,Receiver IP,Goodput (Mb/s)
2016-01-26 10:48:12,130.216.31.108,202.36.29.35,34
2016-01-26 10:48:13,130.216.31.108,202.36.29.35,77
2016-01-26 10:48:14,130.216.31.108,202.36.29.35,60
2016-01-26 10:48:15,130.216.31.108,202.36.29.35,88
2016-01-26 10:48:16,130.216.31.108,202.36.29.35,85
2016-01-26 10:48:17,130.216.31.108,202.36.29.35,14
2016-01-26 10:48:18,130.216.31.108,202.36.29.35,61
2016-01-26 10:48:19,130.216.31.108,202.36.29.35,1
2016-01-26 10:48:20,130.216.31.108,202.36.29.35,100
2016-01-26 10:48:21,130.216.31.108,202.36.29.35,57
2016-01-26 10:48:22,130.216.31.108,202.36.29.35,71
2016-01-26 10:48:23,130.216.31.108,202.36.29.35,80
2016-01-26 10:48:24,130.216.31.108,202.36.29.35,41
2016-01-26 10:48:25,130.216.31.108,202.36.29.35,44
2016-01-26 10:48:26,130.216.31.108,202.36.29.35,59
2016-01-26 10:48:27,130.216.31.108,202.36.29.35,71
2016-01-26 10:48:28,130.216.31.108,202.36.29.35,61
2016-01-26 10:48:29,130.216.31.108,202.36.29.35,32
2016-01-26 10:48:30,130.216.31.108,202.36.29.35,22
2016-01-26 10:48:31,130.216.31.108,202.36.29.35,82
2016-01-26 10:48:32,130.216.31.108,202.36.29.35,12
2016-01-26 10:48:33,130.216.31.108,202.36.29.35,67
2016-01-26 10:48:34,130.216.31.108,202.36.29.35,60
2016-01-26 10:48:35,130.216.31.108,202.36.29.35,98
2016-01-26 10:48:36,130.216.31.108,202.36.29.35,66
2016-01-26 10:48:37,130.216.31.108,202.36.29.35,72
2016-01-26 10:48:38,130.216.31.108,202.36.29.35,79
2016-01-26 10:48:39,130.216.31.108,202.36.29.35,61
2016-01-26 10:48:40,130.216.31.108,202.36.29.35,70
2016-01-26 10:48:41,130.216.31.108,202.36.29.35,62
2016-01-26 10:48:42,130.216.31.108,202.36.29.35,69
2016-01-26 10:48:43,130.216.31.108,202.36.29.35,57
2016-01-26 10:48:44,130.216.31.108,202.36.29.35,66
2016-01-26 10:48:45,130.216.31.108,202.36.29.35,64
2016-01-26 10:48:46,130.216.31.108,202.36.29.35,64
2016-01-26 10:48:47,130.216.31.108,202.36.29.35,68
2016-01-26 10:48:48,130.216.31.108,202.36.29.35,64
2016-01-26 10:48:49,130.216.31.108,202.36.29.35,67
2016-01-26 10:48:50,130.216.31.108,202.36.29.35,62
2016-01-26 10:48:51,130.216.31.108,202.36.29.35,54
2016-01-26 10:48:52,130.216.31.108,202.36.29.35,60
2016-01-26 10:48:53,130.216.31.108,202.36.29.35,54
2016-01-26 10:48:54,130.216.31.108,202.36.29.35,58
2016-01-26 10:48:55,130.216.31.108,202.36.29.35,60
2016-01-26 10:48:56,130.216.31.108,202.36.29.35,44
2016-01-26 10:48:57,130.216.31.108,202.36.29.35,40
2016-01-26 10:48:58,130.216.31.108,202.36.29.35,101
2016-01-26 10:48:59,130.216.31.108,202.36.29.35,94
2016-01-26 10:49:00,130.216.31.108,202.36.29.35,68
2016-01-26 10:49:01,130.216.31.108,202.36.29.35,46
2016-01-26 10:49:02,130.216.31.108,202.36.29.35,25
2016-01-26 10:49:03,130.216.31.108,202.36.29.35,26
2016-01-26 10:49:04,130.216.31.108,202.36.29.35,69
2016-01-26 10:49:05,130.216.31.108,202.36.29.35,54
2016-01-26 10:49:06,130.216.31.108,202.36.29.35,87
2016-01-26 10:49:07,130.216.31.108,202.36.29.35,43
2016-01-26 10:49:08,130.216.31.108,202.36.29.35,73
2016-01-26 10:49:09,130.216.31.108,202.36.29.35,29
2016-01-26 10:49:10,130.216.31.108,202.36.29.35,1
2016-01-26 10:49:11,130.216.31.108,202.36.29.35,120
2016-01-26 10:49:12,130.216.31.108,202.36.29.35,31
2016-01-26 10:49:13,130.216.31.108,202.36.29.35,75
2016-01-26 10:49:14,130.216.31.108,202.36.29.35,18
2016-01-26 10:49:15,130.216.31.108,202.36.29.35,11
2016-01-26 10:49:16,130.216.31.108,202.36.29.35,69
2016-01-26 10:49:17,130.216.31.108,202.36.29.35,37
2016-01-26 10:49:18,130.216.31.108,202.36.29.35,89
2016-01-26 10:49:19,130.216.31.108,202.36.29.35,65
2016-01-26 10:49:20,130.216.31.108,202.36.29.35,50
2016-01-26 10:49:21,130.216.31.108,202.36.29.35,44
2016-01-26 10:49:22,130.216.31.108,202.36.29.35,48
2016-01-26 10:49:23,130.216.31.108,202.36.29.35,64
2016-01-26 10:49:24,130.216.31.108,202.36.29.35,35
2016-01-26 10:49:25,130.216.31.108,202.36.29.35,112
2016-01-26 10:49:26,130.216.31.108,202.36.29.35,60
2016-01-26 10:49:27,130.216.31.108,202.36.29.35,53
2016-01-26 10:49:28,130.216.31.108,202.36.29.35,25
2016-01-26 10:49:29,130.216.31.108,202.36.29.35,91
2016-01-26 10:49:30,130.216.31.108,202.36.29.35,58
2016-01-26 10:49:31,130.216.31.108,202.36.29.35,18
2016-01-26 10:49:32,130.216.31.108,202.36.29.35,76
2016-01-26 10:49:33,130.216.31.108,202.36.29.35,55
2016-01-26 10:49:34,130.216.31.108,202.36.29.35,66
2016-01-26 10:49:35,130.216.31.108,202.36.29.35,38
2016-01-26 10:49:36,130.216.31.108,202.36.29.35,70
2016-01-26 10:49:38,130.216.31.108,202.36.29.35,71
2016-01-26 10:49:39,130.216.31.108,202.36.29.35,98
2016-01-26 10:49:40,130.216.31.108,202.36.29.35,8
2016-01-26 10:49:42,130.216.31.108,202.36.29.35,96
2016-01-26 10:49:43,130.216.31.108,202.36.29.35,1
2016-01-26 10:49:44,130.216.31.108,202.36.29.35,131
2016-01-26 10:49:45,130.216.31.108,202.36.29.35,30
2016-01-26 10:49:46,130.216.31.108,202.36.29.35,12
2016-01-26 10:49:47,130.216.31.108,202.36.29.35,61
2016-01-26 10:49:48,130.216.31.108,202.36.29.35,81
2016-01-26 10:49:49,130.216.31.108,202.36.29.35,28
2016-01-26 10:49:50,130.216.31.108,202.36.29.35,70
2016-01-26 10:49:51,130.216.31.108,202.36.29.35,97
2016-01-26 10:49:52,130.216.31.108,202.36.29.35,66
2016-01-26 10:49:53,130.216.31.108,202.36.29.35,43
2016-01-26 10:49:54,130.216.31.108,202.36.29.35,74
2016-01-26 10:49:56,130.216.31.108,202.36.29.35,105
2016-01-26 10:49:57,130.216.31.108,202.36.29.35,56
2016-01-26 10:49:58,130.216.31.108,202.36.29.35,54
2016-01-26 10:49:59,130.216.31.108,202.36.29.35,72
2016-01-26 10:50:00,130.216.31.108,202.36.29.35,60
2016-01-26 10:50:01,130.216.31.108,202.36.29.35,60
2016-01-26 10:50:02,130.216.31.108,202.36.29.35,29
2016-01-26 10:50:03,130.216.31.108,202.36.29.35,74
2016-01-26 10:50:04,130.216.31.108,202.36.29.35,33
2016-01-26 10:50:05,130.216.31.108,202.36.29.35,79
2016-01-26 10:50:06,130.216.31.108,202.36.29.35,60
2016-01-26 10:50:07,130.216.31.108,202.36.29.35,55
2016-01-26 10:50:08,130.216.31.108,202.36.29.35,44
2016-01-26 10:50:09,130.216.31.108,202.36.29.35,80
2016-01-26 10:50:10,130.216.31.108,202.36.29.35,56
2016-01-26 10:50:11,130.216.31.108,202.36.29.35,52
2016-01-26 10:50:12,130.216.31.108,202.36.29.35,80
2016-01-26 10:50:14,130.216.31.108,202.36.29.35,87
2016-01-26 10:50:15,130.216.31.108,202.36.29.35,56
2016-01-26 10:50:16,130.216.31.108,202.36.29.35,91
2016-01-26 10:50:17,130.216.31.108,202.36.29.35,54
2016-01-26 10:50:18,130.216.31.108,202.36.29.35,2
2016-01-26 10:50:19,130.216.31.108,202.36.29.35,89
2016-01-26 10:50:20,130.216.31.108,202.36.29.35,22
2016-01-26 10:50:22,130.216.31.108,202.36.29.35,20
2016-01-26 10:50:23,130.216.31.108,202.36.29.35,19
2016-01-26 10:50:25,130.216.31.108,202.36.29.35,7
