Time of transfer,Sender IP,Receiver IP,Goodput (Mb/s)
2016-01-25 15:34:02,130.216.31.108,202.36.29.35,16
2016-01-25 15:34:03,130.216.31.108,202.36.29.35,100
2016-01-25 15:34:04,130.216.31.108,202.36.29.35,59
2016-01-25 15:34:05,130.216.31.108,202.36.29.35,18
2016-01-25 15:34:06,130.216.31.108,202.36.29.35,15
2016-01-25 15:34:07,130.216.31.108,202.36.29.35,18
2016-01-25 15:34:08,130.216.31.108,202.36.29.35,48
2016-01-25 15:34:09,130.216.31.108,202.36.29.35,46
2016-01-25 15:34:10,130.216.31.108,202.36.29.35,14
2016-01-25 15:34:11,130.216.31.108,202.36.29.35,78
2016-01-25 15:34:12,130.216.31.108,202.36.29.35,28
2016-01-25 15:34:13,130.216.31.108,202.36.29.35,3
2016-01-25 15:34:14,130.216.31.108,202.36.29.35,86
2016-01-25 15:34:15,130.216.31.108,202.36.29.35,43
2016-01-25 15:34:16,130.216.31.108,202.36.29.35,56
2016-01-25 15:34:17,130.216.31.108,202.36.29.35,63
2016-01-25 15:34:18,130.216.31.108,202.36.29.35,28
2016-01-25 15:34:20,130.216.31.108,202.36.29.35,112
2016-01-25 15:34:21,130.216.31.108,202.36.29.35,23
2016-01-25 15:34:22,130.216.31.108,202.36.29.35,39
2016-01-25 15:34:23,130.216.31.108,202.36.29.35,88
2016-01-25 15:34:24,130.216.31.108,202.36.29.35,110
2016-01-25 15:34:25,130.216.31.108,202.36.29.35,82
2016-01-25 15:34:26,130.216.31.108,202.36.29.35,5
2016-01-25 15:34:27,130.216.31.108,202.36.29.35,70
2016-01-25 15:34:28,130.216.31.108,202.36.29.35,62
2016-01-25 15:34:29,130.216.31.108,202.36.29.35,89
2016-01-25 15:34:30,130.216.31.108,202.36.29.35,60
2016-01-25 15:34:31,130.216.31.108,202.36.29.35,61
2016-01-25 15:34:32,130.216.31.108,202.36.29.35,79
2016-01-25 15:34:33,130.216.31.108,202.36.29.35,63
2016-01-25 15:34:34,130.216.31.108,202.36.29.35,34
2016-01-25 15:34:35,130.216.31.108,202.36.29.35,66
2016-01-25 15:34:36,130.216.31.108,202.36.29.35,49
2016-01-25 15:34:37,130.216.31.108,202.36.29.35,25
2016-01-25 15:34:38,130.216.31.108,202.36.29.35,41
2016-01-25 15:34:39,130.216.31.108,202.36.29.35,111
2016-01-25 15:34:40,130.216.31.108,202.36.29.35,50
2016-01-25 15:34:41,130.216.31.108,202.36.29.35,49
2016-01-25 15:34:42,130.216.31.108,202.36.29.35,53
2016-01-25 15:34:43,130.216.31.108,202.36.29.35,82
2016-01-25 15:34:44,130.216.31.108,202.36.29.35,66
2016-01-25 15:34:45,130.216.31.108,202.36.29.35,21
2016-01-25 15:34:46,130.216.31.108,202.36.29.35,26
2016-01-25 15:34:47,130.216.31.108,202.36.29.35,52
2016-01-25 15:34:48,130.216.31.108,202.36.29.35,52
2016-01-25 15:34:49,130.216.31.108,202.36.29.35,73
2016-01-25 15:34:50,130.216.31.108,202.36.29.35,85
2016-01-25 15:34:51,130.216.31.108,202.36.29.35,18
2016-01-25 15:34:52,130.216.31.108,202.36.29.35,44
2016-01-25 15:34:53,130.216.31.108,202.36.29.35,40
2016-01-25 15:34:54,130.216.31.108,202.36.29.35,44
2016-01-25 15:34:55,130.216.31.108,202.36.29.35,25
2016-01-25 15:34:56,130.216.31.108,202.36.29.35,111
2016-01-25 15:34:57,130.216.31.108,202.36.29.35,61
2016-01-25 15:34:58,130.216.31.108,202.36.29.35,52
2016-01-25 15:34:59,130.216.31.108,202.36.29.35,62
2016-01-25 15:35:00,130.216.31.108,202.36.29.35,68
2016-01-25 15:35:01,130.216.31.108,202.36.29.35,63
2016-01-25 15:35:02,130.216.31.108,202.36.29.35,68
2016-01-25 15:35:03,130.216.31.108,202.36.29.35,62
2016-01-25 15:35:04,130.216.31.108,202.36.29.35,64
2016-01-25 15:35:05,130.216.31.108,202.36.29.35,66
2016-01-25 15:35:06,130.216.31.108,202.36.29.35,70
2016-01-25 15:35:07,130.216.31.108,202.36.29.35,40
2016-01-25 15:35:08,130.216.31.108,202.36.29.35,80
2016-01-25 15:35:09,130.216.31.108,202.36.29.35,68
2016-01-25 15:35:10,130.216.31.108,202.36.29.35,81
2016-01-25 15:35:11,130.216.31.108,202.36.29.35,70
2016-01-25 15:35:12,130.216.31.108,202.36.29.35,74
2016-01-25 15:35:13,130.216.31.108,202.36.29.35,64
2016-01-25 15:35:14,130.216.31.108,202.36.29.35,31
2016-01-25 15:35:15,130.216.31.108,202.36.29.35,107
2016-01-25 15:35:16,130.216.31.108,202.36.29.35,62
2016-01-25 15:35:17,130.216.31.108,202.36.29.35,49
2016-01-25 15:35:18,130.216.31.108,202.36.29.35,59
2016-01-25 15:35:19,130.216.31.108,202.36.29.35,54
2016-01-25 15:35:20,130.216.31.108,202.36.29.35,50
2016-01-25 15:35:21,130.216.31.108,202.36.29.35,73
2016-01-25 15:35:22,130.216.31.108,202.36.29.35,63
2016-01-25 15:35:23,130.216.31.108,202.36.29.35,66
2016-01-25 15:35:24,130.216.31.108,202.36.29.35,58
2016-01-25 15:35:25,130.216.31.108,202.36.29.35,58
2016-01-25 15:35:26,130.216.31.108,202.36.29.35,55
2016-01-25 15:35:27,130.216.31.108,202.36.29.35,60
2016-01-25 15:35:28,130.216.31.108,202.36.29.35,62
2016-01-25 15:35:29,130.216.31.108,202.36.29.35,56
2016-01-25 15:35:30,130.216.31.108,202.36.29.35,67
2016-01-25 15:35:31,130.216.31.108,202.36.29.35,78
2016-01-25 15:35:32,130.216.31.108,202.36.29.35,36
2016-01-25 15:35:33,130.216.31.108,202.36.29.35,50
2016-01-25 15:35:34,130.216.31.108,202.36.29.35,66
2016-01-25 15:35:35,130.216.31.108,202.36.29.35,91
2016-01-25 15:35:36,130.216.31.108,202.36.29.35,53
2016-01-25 15:35:37,130.216.31.108,202.36.29.35,10
2016-01-25 15:35:39,130.216.31.108,202.36.29.35,91
2016-01-25 15:35:40,130.216.31.108,202.36.29.35,83
2016-01-25 15:35:41,130.216.31.108,202.36.29.35,86
2016-01-25 15:35:42,130.216.31.108,202.36.29.35,31
2016-01-25 15:35:43,130.216.31.108,202.36.29.35,81
2016-01-25 15:35:44,130.216.31.108,202.36.29.35,25
2016-01-25 15:35:45,130.216.31.108,202.36.29.35,68
2016-01-25 15:35:46,130.216.31.108,202.36.29.35,29
2016-01-25 15:35:47,130.216.31.108,202.36.29.35,43
2016-01-25 15:35:48,130.216.31.108,202.36.29.35,126
2016-01-25 15:35:49,130.216.31.108,202.36.29.35,53
2016-01-25 15:35:50,130.216.31.108,202.36.29.35,49
2016-01-25 15:35:51,130.216.31.108,202.36.29.35,41
2016-01-25 15:35:52,130.216.31.108,202.36.29.35,58
2016-01-25 15:35:53,130.216.31.108,202.36.29.35,78
2016-01-25 15:35:54,130.216.31.108,202.36.29.35,31
2016-01-25 15:35:55,130.216.31.108,202.36.29.35,116
2016-01-25 15:35:56,130.216.31.108,202.36.29.35,34
2016-01-25 15:35:58,130.216.31.108,202.36.29.35,80
2016-01-25 15:35:59,130.216.31.108,202.36.29.35,53
2016-01-25 15:36:00,130.216.31.108,202.36.29.35,57
2016-01-25 15:36:01,130.216.31.108,202.36.29.35,61
2016-01-25 15:36:02,130.216.31.108,202.36.29.35,47
2016-01-25 15:36:03,130.216.31.108,202.36.29.35,32
2016-01-25 15:36:04,130.216.31.108,202.36.29.35,100
2016-01-25 15:36:05,130.216.31.108,202.36.29.35,69
2016-01-25 15:36:06,130.216.31.108,202.36.29.35,42
2016-01-25 15:36:07,130.216.31.108,202.36.29.35,59
2016-01-25 15:36:08,130.216.31.108,202.36.29.35,54
2016-01-25 15:36:09,130.216.31.108,202.36.29.35,93
2016-01-25 15:36:10,130.216.31.108,202.36.29.35,41
2016-01-25 15:36:11,130.216.31.108,202.36.29.35,14
2016-01-25 15:36:12,130.216.31.108,202.36.29.35,70
2016-01-25 15:36:13,130.216.31.108,202.36.29.35,51
2016-01-25 15:36:14,130.216.31.108,202.36.29.35,56
2016-01-25 15:36:15,130.216.31.108,202.36.29.35,50
2016-01-25 15:36:16,130.216.31.108,202.36.29.35,3
2016-01-25 15:36:17,130.216.31.108,202.36.29.35,13
2016-01-25 15:36:18,130.216.31.108,202.36.29.35,126
2016-01-25 15:36:19,130.216.31.108,202.36.29.35,41
2016-01-25 15:36:20,130.216.31.108,202.36.29.35,28
2016-01-25 16:02:17,130.216.31.108,202.36.29.35,18
2016-01-25 16:02:18,130.216.31.108,202.36.29.35,9
2016-01-25 16:02:19,130.216.31.108,202.36.29.35,132
2016-01-25 16:02:20,130.216.31.108,202.36.29.35,85
2016-01-25 16:02:21,130.216.31.108,202.36.29.35,81
2016-01-25 16:02:22,130.216.31.108,202.36.29.35,82
2016-01-25 16:02:23,130.216.31.108,202.36.29.35,64
2016-01-25 16:02:25,130.216.31.108,202.36.29.35,156
2016-01-25 16:02:26,130.216.31.108,202.36.29.35,82
2016-01-25 16:02:27,130.216.31.108,202.36.29.35,26
2016-01-25 16:02:28,130.216.31.108,202.36.29.35,22
2016-01-25 16:02:29,130.216.31.108,202.36.29.35,130
2016-01-25 16:02:30,130.216.31.108,202.36.29.35,30
2016-01-25 16:02:31,130.216.31.108,202.36.29.35,62
2016-01-25 16:02:32,130.216.31.108,202.36.29.35,71
2016-01-25 16:02:33,130.216.31.108,202.36.29.35,55
2016-01-25 16:02:34,130.216.31.108,202.36.29.35,68
2016-01-25 16:02:35,130.216.31.108,202.36.29.35,4
2016-01-25 16:02:36,130.216.31.108,202.36.29.35,51
2016-01-25 16:02:37,130.216.31.108,202.36.29.35,22
2016-01-25 16:02:38,130.216.31.108,202.36.29.35,29
2016-01-25 16:02:39,130.216.31.108,202.36.29.35,95
2016-01-25 16:02:40,130.216.31.108,202.36.29.35,29
2016-01-25 16:02:41,130.216.31.108,202.36.29.35,65
2016-01-25 16:02:42,130.216.31.108,202.36.29.35,13
2016-01-25 16:02:44,130.216.31.108,202.36.29.35,82
2016-01-25 16:02:45,130.216.31.108,202.36.29.35,90
2016-01-25 16:02:46,130.216.31.108,202.36.29.35,54
2016-01-25 16:02:47,130.216.31.108,202.36.29.35,61
2016-01-25 16:02:48,130.216.31.108,202.36.29.35,55
2016-01-25 16:02:49,130.216.31.108,202.36.29.35,58
2016-01-25 16:02:50,130.216.31.108,202.36.29.35,19
2016-01-25 16:02:51,130.216.31.108,202.36.29.35,46
2016-01-25 16:02:52,130.216.31.108,202.36.29.35,108
2016-01-25 16:02:53,130.216.31.108,202.36.29.35,81
2016-01-25 16:02:54,130.216.31.108,202.36.29.35,50
2016-01-25 16:02:55,130.216.31.108,202.36.29.35,87
2016-01-25 16:02:56,130.216.31.108,202.36.29.35,67
2016-01-25 16:02:57,130.216.31.108,202.36.29.35,82
2016-01-25 16:02:58,130.216.31.108,202.36.29.35,68
2016-01-25 16:02:59,130.216.31.108,202.36.29.35,69
2016-01-25 16:03:01,130.216.31.108,202.36.29.35,110
2016-01-25 16:03:02,130.216.31.108,202.36.29.35,50
2016-01-25 16:03:05,130.216.31.108,202.36.29.35,54
2016-01-25 16:03:06,130.216.31.108,202.36.29.35,53
2016-01-25 16:03:07,130.216.31.108,202.36.29.35,78
2016-01-25 16:03:08,130.216.31.108,202.36.29.35,32
2016-01-25 16:03:09,130.216.31.108,202.36.29.35,24
2016-01-25 16:03:10,130.216.31.108,202.36.29.35,5
2016-01-25 16:03:11,130.216.31.108,202.36.29.35,59
2016-01-25 16:03:12,130.216.31.108,202.36.29.35,71
2016-01-25 16:03:13,130.216.31.108,202.36.29.35,70
2016-01-25 16:03:14,130.216.31.108,202.36.29.35,130
2016-01-25 16:03:15,130.216.31.108,202.36.29.35,46
2016-01-25 16:03:16,130.216.31.108,202.36.29.35,55
2016-01-25 16:03:17,130.216.31.108,202.36.29.35,29
2016-01-25 16:03:18,130.216.31.108,202.36.29.35,57
2016-01-25 16:03:19,130.216.31.108,202.36.29.35,69
2016-01-25 16:03:20,130.216.31.108,202.36.29.35,66
2016-01-25 16:03:21,130.216.31.108,202.36.29.35,62
2016-01-25 16:03:22,130.216.31.108,202.36.29.35,65
2016-01-25 16:03:23,130.216.31.108,202.36.29.35,60
2016-01-25 16:03:24,130.216.31.108,202.36.29.35,63
2016-01-25 16:03:25,130.216.31.108,202.36.29.35,72
2016-01-25 16:03:26,130.216.31.108,202.36.29.35,65
2016-01-25 16:03:27,130.216.31.108,202.36.29.35,69
2016-01-25 16:03:28,130.216.31.108,202.36.29.35,62
2016-01-25 16:03:29,130.216.31.108,202.36.29.35,67
2016-01-25 16:03:30,130.216.31.108,202.36.29.35,65
2016-01-25 16:03:31,130.216.31.108,202.36.29.35,71
2016-01-25 16:03:32,130.216.31.108,202.36.29.35,59
2016-01-25 16:03:33,130.216.31.108,202.36.29.35,70
2016-01-25 16:03:34,130.216.31.108,202.36.29.35,48
2016-01-25 16:03:35,130.216.31.108,202.36.29.35,61
2016-01-25 16:03:36,130.216.31.108,202.36.29.35,68
2016-01-25 16:03:37,130.216.31.108,202.36.29.35,69
2016-01-25 16:03:38,130.216.31.108,202.36.29.35,68
2016-01-25 16:03:39,130.216.31.108,202.36.29.35,61
2016-01-25 16:03:40,130.216.31.108,202.36.29.35,65
2016-01-25 16:03:41,130.216.31.108,202.36.29.35,71
2016-01-25 16:03:42,130.216.31.108,202.36.29.35,53
2016-01-25 16:03:43,130.216.31.108,202.36.29.35,72
2016-01-25 16:03:44,130.216.31.108,202.36.29.35,62
2016-01-25 16:03:45,130.216.31.108,202.36.29.35,58
2016-01-25 16:03:46,130.216.31.108,202.36.29.35,57
2016-01-25 16:03:47,130.216.31.108,202.36.29.35,59
2016-01-25 16:03:48,130.216.31.108,202.36.29.35,58
2016-01-25 16:03:49,130.216.31.108,202.36.29.35,64
2016-01-25 16:03:50,130.216.31.108,202.36.29.35,56
2016-01-25 16:03:51,130.216.31.108,202.36.29.35,64
2016-01-25 16:03:52,130.216.31.108,202.36.29.35,66
2016-01-25 16:03:53,130.216.31.108,202.36.29.35,60
2016-01-25 16:03:54,130.216.31.108,202.36.29.35,64
2016-01-25 16:03:55,130.216.31.108,202.36.29.35,61
2016-01-25 16:03:56,130.216.31.108,202.36.29.35,64
2016-01-25 16:03:57,130.216.31.108,202.36.29.35,65
2016-01-25 16:03:58,130.216.31.108,202.36.29.35,56
2016-01-25 16:03:59,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:00,130.216.31.108,202.36.29.35,68
2016-01-25 16:04:01,130.216.31.108,202.36.29.35,66
2016-01-25 16:04:02,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:03,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:04,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:05,130.216.31.108,202.36.29.35,65
2016-01-25 16:04:06,130.216.31.108,202.36.29.35,57
2016-01-25 16:04:07,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:08,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:09,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:10,130.216.31.108,202.36.29.35,59
2016-01-25 16:04:11,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:12,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:13,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:14,130.216.31.108,202.36.29.35,52
2016-01-25 16:04:15,130.216.31.108,202.36.29.35,60
2016-01-25 16:04:16,130.216.31.108,202.36.29.35,66
2016-01-25 16:04:17,130.216.31.108,202.36.29.35,64
2016-01-25 16:04:18,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:19,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:20,130.216.31.108,202.36.29.35,59
2016-01-25 16:04:21,130.216.31.108,202.36.29.35,64
2016-01-25 16:04:22,130.216.31.108,202.36.29.35,58
2016-01-25 16:04:23,130.216.31.108,202.36.29.35,52
2016-01-25 16:04:24,130.216.31.108,202.36.29.35,55
2016-01-25 16:04:25,130.216.31.108,202.36.29.35,59
2016-01-25 16:04:26,130.216.31.108,202.36.29.35,65
2016-01-25 16:04:27,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:28,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:29,130.216.31.108,202.36.29.35,66
2016-01-25 16:04:30,130.216.31.108,202.36.29.35,66
2016-01-25 16:04:31,130.216.31.108,202.36.29.35,73
2016-01-25 16:04:32,130.216.31.108,202.36.29.35,59
2016-01-25 16:04:33,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:34,130.216.31.108,202.36.29.35,62
2016-01-25 16:04:35,130.216.31.108,202.36.29.35,67
2016-01-25 16:04:36,130.216.31.108,202.36.29.35,66
2016-01-25 16:04:37,130.216.31.108,202.36.29.35,64
2016-01-25 16:04:38,130.216.31.108,202.36.29.35,63
2016-01-25 16:04:39,130.216.31.108,202.36.29.35,64
2016-01-25 16:04:40,130.216.31.108,202.36.29.35,56
2016-01-25 16:04:41,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:42,130.216.31.108,202.36.29.35,14
2016-01-25 16:04:43,130.216.31.108,202.36.29.35,144
2016-01-25 16:04:44,130.216.31.108,202.36.29.35,59
2016-01-25 16:04:45,130.216.31.108,202.36.29.35,71
2016-01-25 16:04:46,130.216.31.108,202.36.29.35,46
2016-01-25 16:04:47,130.216.31.108,202.36.29.35,26
2016-01-25 16:04:49,130.216.31.108,202.36.29.35,61
2016-01-25 16:04:50,130.216.31.108,202.36.29.35,9
2016-01-25 16:04:51,130.216.31.108,202.36.29.35,65
2016-01-25 16:04:52,130.216.31.108,202.36.29.35,3
2016-01-25 16:04:53,130.216.31.108,202.36.29.35,48
2016-01-25 16:04:54,130.216.31.108,202.36.29.35,64
2016-01-25 16:04:55,130.216.31.108,202.36.29.35,81
2016-01-25 16:04:56,130.216.31.108,202.36.29.35,45
2016-01-25 16:04:57,130.216.31.108,202.36.29.35,91
2016-01-25 16:04:58,130.216.31.108,202.36.29.35,45
2016-01-25 16:04:59,130.216.31.108,202.36.29.35,32
2016-01-25 16:05:00,130.216.31.108,202.36.29.35,50
2016-01-25 16:05:01,130.216.31.108,202.36.29.35,86
2016-01-25 16:05:02,130.216.31.108,202.36.29.35,63
2016-01-25 16:05:03,130.216.31.108,202.36.29.35,62
2016-01-25 16:05:04,130.216.31.108,202.36.29.35,20
2016-01-25 16:05:05,130.216.31.108,202.36.29.35,15
2016-01-25 16:05:06,130.216.31.108,202.36.29.35,107
2016-01-25 16:05:07,130.216.31.108,202.36.29.35,11
2016-01-25 16:05:08,130.216.31.108,202.36.29.35,51
2016-01-25 16:05:09,130.216.31.108,202.36.29.35,67
2016-01-25 16:05:10,130.216.31.108,202.36.29.35,45
